aircraft delay1 delay2 delay3 delay4 delay5
813 748 558 1063 113 448 
814 6 6 1 1 6 
815 506 566 1071 2466 1436 
816 10 10 5 5 5 
817 132 157 342 93 382 
818 146 164 24 144 39 
819 0 0 0 0 0 
820 160 173 38 18 58 
821 547 597 1177 2552 1562 
822 1 1 1 1 1 
823 1 1 1 1 1 
824 471 526 1 1 196 
825 1 1 1 1 1 
826 0 0 0 0 0 
827 170 183 93 18 58 
828 774 584 1129 99 459 
829 473 538 1018 2463 1193 
830 750 585 1120 2481 1515 
831 481 546 1 1 136 
832 0 0 0 0 0 
833 9 9 24 4 4 
834 0 0 0 0 0 
835 184 187 112 22 67 
836 3 3 3 3 3 
837 483 548 1053 2463 1353 
838 119 144 4 0 4 
841 0 0 0 0 0 
842 126 161 0 0 35 
843 483 548 608 3 143 
844 145 173 13 8 18 
845 142 162 2 3 2 
846 0 0 0 0 0 
847 517 607 507 1377 3072 
848 155 173 53 13 53 
849 797 602 1157 92 542 
850 536 616 536 1441 3076 
851 9 9 4 4 4 
852 3 3 3 3 3 
855 128 161 281 1 51 
856 484 554 414 19 179 
857 801 626 1106 2472 1506 
858 4 4 3 3 4 
859 0 0 0 0 0 
860 0 0 0 0 0 
861 812 632 1197 2478 1527 
862 121 151 6 7 6 
863 0 0 0 0 0 
864 132 165 315 0 50 
865 137 170 330 15 55 
866 589 669 484 24 179 
867 828 633 1233 2504 1528 
868 152 172 5 6 61 
869 0 0 0 0 0 
870 161 184 319 3139 3064 
871 846 646 351 96 556 
872 3 3 3 3 3 
874 1 1 1 1 1 
875 484 569 4 19 129 
876 146 174 364 14 59 
877 751 579 1009 1374 3084 
878 775 583 1033 1378 3088 
879 7 7 2 2 2 
880 0 0 0 0 0 
881 5 5 5 10 10 
882 807 642 987 147 572 
883 0 0 0 0 0 
885 878 673 1273 148 618 
886 122 152 7 3 2 
887 6 6 6 1 1 
888 169 187 27 102 67 
889 124 154 9 5 4 
890 881 641 1356 2627 1706 
891 368 193 53 109 98 
892 132 162 2 3 7 
893 912 677 1337 177 652 
894 1 1 1 1 1 
895 837 637 1002 142 567 
896 946 661 1211 3151 3076 
897 831 641 1331 2527 1676 
898 630 700 475 30 180 
899 338 196 421 6 46 
900 503 583 3 18 163 
901 638 708 508 43 183 
902 160 183 8 113 58 
903 799 587 1037 1372 3072 
904 180 198 403 3 48 
905 662 732 522 62 192 
906 178 196 91 6 36 
908 0 0 9 9 0 
909 513 603 398 23 138 
910 522 612 2 17 162 
911 165 188 58 8 53 
912 0 0 0 0 0 
914 523 618 418 23 138 
915 380 195 70 96 90 
916 3 3 3 3 3 
917 940 715 1365 160 640 
918 0 0 0 0 0 
920 3 3 3 13 13 
921 858 653 1008 123 623 
922 139 149 19 5 4 
923 142 162 457 123 497 
924 8 8 2 2 2 
925 345 185 5 101 60 
926 188 201 431 1 36 
927 195 208 98 3 38 
928 550 635 1110 2460 1495 
929 180 203 93 93 103 
930 562 637 2 27 152 
931 891 676 1291 171 636 
932 0 0 0 0 0 
933 0 0 0 0 0 
935 976 736 1201 3121 3046 
936 2 2 2 2 2 
938 0 0 0 0 0 
939 134 169 19 10 4 
940 133 168 3 4 8 
941 604 684 534 1644 3029 
942 368 193 63 104 98 
943 141 171 6 17 6 
944 156 191 26 12 11 
945 184 197 312 3082 3007 
946 175 193 3 3 48 
947 958 698 1338 2619 1688 
950 2 0 0 0 5 
951 928 688 1063 108 658 
952 562 637 1192 2502 1527 
953 675 750 5 35 245 
954 633 703 1308 2613 1688 
957 1 1 1 1 1 
958 180 198 103 3 48 
959 0 0 0 0 0 
960 917 725 1140 1660 3250 
961 4 4 4 4 4 
962 395 215 105 86 90 
963 562 642 467 22 147 
964 8 8 8 13 13 
965 944 742 1227 1667 3252 
966 838 648 1338 2524 1688 
967 16 12 12 6 6 
968 2 2 2 2 2 
969 4 4 4 4 4 
970 0 0 0 0 0 
971 574 649 4 49 159 
972 5 5 5 5 5 
973 391 201 76 87 91 
974 3 3 3 3 3 
975 582 657 7 52 177 
976 585 665 500 1645 3030 
977 222 235 95 0 40 
978 157 227 62 3 2 
979 141 161 6 2 1 
980 929 769 429 219 634 
982 589 669 1269 2609 1684 
983 0 0 0 0 0 
984 3 3 3 3 3 
985 3 3 3 3 3 
986 18 8 13 8 13 
988 2 2 2 2 2 
989 24 19 4 9 4 
990 391 206 101 87 96 
991 857 680 1085 1650 3025 
992 9 9 9 14 14 
993 0 0 0 0 0 
994 597 682 2 17 172 
995 132 152 2 8 2 
996 14 14 4 4 4 
997 10 10 10 5 5 
998 131 146 1 2 1 
999 191 204 4 9 59 
1000 1042 772 1167 3077 3007 
1001 681 741 611 1646 3226 
1002 205 223 353 3078 3013 
1003 1099 839 1314 3064 3009 
1004 399 229 124 100 104 
1005 615 690 1270 2595 1675 
1006 213 231 446 1 36 
1007 0 0 0 0 0 
1008 0 0 0 0 0 
1010 406 241 156 102 116 
1011 626 696 631 36 171 
1012 1090 780 1275 3080 3025 
1013 2 2 2 2 2 
1014 698 753 523 43 233 
1015 707 762 677 1657 3227 
1016 925 750 430 95 630 
1017 640 710 0 45 185 
1018 16 16 1 1 1 
1019 1062 767 1382 2603 1677 
1020 968 813 1423 223 613 
1021 644 719 544 1639 3044 
1022 18 18 3 3 3 
1023 1113 778 1313 3083 3023 
1024 712 782 1402 2602 1677 
1025 5 5 5 0 0 
1026 653 728 643 98 188 
1027 667 742 542 62 227 
1028 0 0 0 0 0 
1029 0 0 0 0 0 
1030 123 133 3 4 3 
